index,id,tweets,likes,time
113,1529987118348500993,"GO BIG GREEN!🌲

Taylor and I (and Gator the Cat) are moving to New Hampshire, as I start a position with Dartmouth College as a Varsity Athletics Communications Specialist!

I am so thankful for this opportunity, and I cannot wait to get started! 

#TheWoods | @dartmouthsports https://t.co/LcizgaUdYg",56,2022-05-27 00:45:29
114,1529968790913572885,Blessed to receive an offer from the prestigious Dartmouth College! #TheWoods https://t.co/dlc8VaVYgh,91,2022-05-26 23:32:39
115,1529956265853607939,"Even at party-hearty Dartmouth College in New Hampshire, the students in an entire dormitory have pledged to stay sober during their four years of school.",0,2022-05-26 22:42:53
116,1529954141283442716,Mesa: Dartmouth College Republicans (dis)United https://t.co/gYBSLketg3,0,2022-05-26 22:34:27
117,1529933555584974870,"@aeonmag Re: ""...at Dartmouth College in Vermont.""

Actually, it is located across the river in New Hampshire.  
Not sure how this one got past the editor.",0,2022-05-26 21:12:39
118,1529932077512138752,"@DineshDSouza DD,
Loved your latest movie. How about the goof trying to stuff a dozen ballots in together and half drop on the ground?
Hey, does your wife know about your college roll in the hay with Laura I? @IngrahamAngle @MonicaCrowley @ThatKevinSmith @RicFlairNatrBoy @dartmouth",0,2022-05-26 21:06:46
119,1529928100154421248,"The Dartmouth College Ukrainian Student Association will be holding an exhibition dedicated to the lives and bravery of the Ukrainian people during the Russian invasion and war. 10am-8pm on Fri-Sun, May 27-29 in the HOP garage (room #132, next to the Courtyard).",0,2022-05-26 20:50:58
120,1529915038424780827,@dartmouth @neal_katyal Don't forget who will be speaking at the NRA convention this weekend in Texas - of all places 😡 https://t.co/krzXgzZ7u5,0,2022-05-26 19:59:04
121,1529884733194358784,"¡ Como vaya yo y lo encuentre !

Muñeco de la Tribu Yuma
S XX
©  Hood Museum of Art. Dartmouth College

#MuñecArte https://t.co/teRl8q1Fee",65,2022-05-26 17:58:38
122,1529867443279122432,"@DartDems @CindeWarmington @dartmouth Hey Dartmouth Dems, would you like to be Carbon Cash-Back Town Champions for your NH hometowns? Or perhaps help Hanover pass a resolution? Please check out https://t.co/qvtXQJE7rW. You'll find support for cash-back carbon pricing from a dozen of your own Economics profs. Thanks!",0,2022-05-26 16:49:56
123,1529853630773329922,"@ykomska @geogvma @dartmouth St. Johns Law discarded two containers of case reporters and treatises when I was doing my JD there twelve years ago, and I would walk past the moldering paper into the basement of the building and felt I was walking past a charnel heap.",1,2022-05-26 15:55:03
124,1529850699097559041,"@ykomska @dartmouth Yeah, WSU has an ""Undergraduate Library"" and I'm not entirely sure there are any books in there at all. If I'm not mistaken, other libraries have been decommissioned entirely and their collections have been farmed off to other libraries, put in storage, or simply disposed of.",1,2022-05-26 15:43:24
125,1529850184313802753,"@geogvma @dartmouth has also notified us that our remodeled building will not have book spaces b/c books are old technology, and they're building for the 100 years ahead...",0,2022-05-26 15:41:21
126,1529847719694680066,"@AliMayorkas @POTUS @PressSec @DHSgov @Yale @Cornell @WSJ @dartmouth @Harvard_Law @MSNBC @FoxNews BIDEN AND MAYORKAS ARE LIARS, CHEATS AND DECIEVING AMERICANS! THIS IS NOT TRANSPARENT, OPEN OR FAIR! Watch...
https://t.co/TBpKFYwepf",0,2022-05-26 15:31:34
